"","V1","V2"
"prc",0.524861316980027,1000
"prc",0.830213551400412,228
"prc",0.857844765654162,231
"prc",0.816256075714003,210
"prc",0.957699605610733,249
"prc",0.945150030877295,271
"prc",0.411701486517,1000
"prc",0.797988565392135,300
"prc",0.89534458841252,307
"prc",0.798278654660737,229
"prc",0.866490512483698,262
"prc",0.744655335276369,303
"prc",0.567517563079794,230
"prc",0.773468756290408,215
"prc",0.833877962493502,184
"prc",0.502855388730691,334
"prc",0.841705474208164,239
"prc",0.905970280268686,178
"prc",0.85535087398089,208
"prc",0.779183041833926,211
"prc",0.715025517715178,236
"prc",0.583263330380706,227
"prc",0.504159229305372,239
"prc",0.20945837041911,212
"prc",0.714286866862619,218
"prc",0.617697096836078,1000
"prc",0.585631091495172,1000
"prc",0.792430246394931,224
"prc",0.607218023672627,308
"prc",0.802655062040168,1000
"prc",0.435989216682227,512
"prc",0.893116993473514,208
"prc",0.262203451905801,1000
"prc",0.87429065273746,284
"prc",0.902586393259174,255
"prc",0.302780765241889,1000
"prc",0.821576273251398,259
"prc",0.613102815707452,178
"prc",0.803146332091488,240
"prc",0.894769518850736,1000
"prc",0.398670014606643,1000
"prc",0.641211052699124,254
"prc",0.688144655742993,211
"prc",0.382303279788032,177
"prc",0.954587855832834,211
"prc",0.709522427297106,217
"prc",0.49939370133421,196
"prc",0.406102388458071,269
"prc",0.770929796137281,272
"prc",0.882953246114958,245
"prc",0.375945369019082,255
"prc",0.273027360161912,1000
"prc",0.476989197891717,237
"prc",0.597367421060654,1000
"prc",0.887184823525376,260
"prc",0.896501164244232,239
"prc",0.950267726847646,233
"prc",0.85190012380846,230
"prc",0.987935693596727,225
"prc",0.437917778332371,204
"prc",0.205964489097104,1000
"prc",0.306339438402039,375
"prc",0.810342448708766,231
"prc",0.781268271316281,269
"prc",0.707035930918566,254
"prc",0.539283490980263,1000
"prc",0.830812830368386,291
"prc",0.326522333886219,1000
"prc",0.504384646703507,214
"prc",0.622154604878971,1000
"prc",0.794964304330814,219
"prc",0.558211006898725,1000
"prc",0.941423009578869,302
"prc",0.911716279619392,200
"prc",0.54202179031264,1000
"prc",0.450805968897162,260
"prc",0.423668617711348,291
"prc",0.491108210726878,1000
"prc",0.752125790077901,208
"prc",0.330920220132844,1000
"prc",0.847712361335973,201
"prc",0.697410687977704,243
"prc",0.794226962114301,228
"prc",0.941409387443142,212
"prc",0.881219664816836,175
"prc",0.623288864607685,390
"prc",0.480312389165127,1000
"prc",0.491397317873278,309
"prc",0.885020871683225,267
"prc",0.880669737389932,515
"prc",0.979788757513697,221
"prc",0.565912263376602,254
"prc",0.921586689813172,235
"prc",0.403136000858949,255
"prc",0.32675301376858,1000
"prc",0.783111614476451,223
"prc",0.579006613204804,244
"prc",0.50750432070436,1000
"prc",0.421297382340748,1000
"prc",0.449326551336905,1000
"prc",0.198245120225657,227
"prc",0.980050709409018,231
"prc",0.913837178025906,224
"prc",0.971293411445895,264
"prc",0.965620570806969,269
"prc",0.157230155597277,303
"prc",0.900379439058038,218
"prc",0.871784729453936,216
"prc",0.781037380425807,211
"prc",0.685576131658665,222
"prc",0.750206684940221,330
"prc",0.123890886474401,1000
"prc",0.362592194046752,186
"prc",0.77065841650919,231
"prc",0.504801194630928,308
"prc",0.811237545811809,275
"prc",0.290661209970895,1000
"prc",0.370128190984913,317
"prc",0.841370897285421,279
"prc",0.403879374839804,1000
"prc",0.547835870372022,294
"prc",0.299742995336031,1000
"prc",0.648365499141316,401
