"","V1","V2"
"prc",0.205885087216328,84
"prc",0.126072518763534,42
"prc",0.189372360664968,57
"prc",0.24556922709962,136
"prc",0.155169463357523,65
"prc",0.309940172626874,67
"prc",0.157587954514185,46
"prc",0.1610706013274,71
"prc",0.157795040089747,63
"prc",0.323442629536833,72
"prc",0.464700725668055,141
"prc",0.23876832424243,82
"prc",0.314735387328866,109
"prc",0.334963000500849,69
"prc",0.328751531583166,100
"prc",0.26805270614979,61
"prc",0.289858896246673,88
"prc",0.220563323604509,72
"prc",0.110472581415967,106
"prc",0.242861519130677,64
"prc",0.239270285086743,62
"prc",0.302734690372668,55
"prc",0.26438617461151,73
"prc",0.25248689107469,63
"prc",0.181639314403155,72
"prc",0.0908587401904458,58
"prc",0.371525722655522,89
"prc",0.192105374046802,74
"prc",0.235425463556586,79
"prc",0.170440020133997,70
"prc",0.20748677732359,48
"prc",0.347619316526597,104
"prc",0.259734182365093,82
"prc",0.167436656856581,51
"prc",0.300488692689048,96
"prc",0.196392718212789,51
"prc",0.25202314048622,63
"prc",0.190063435489257,63
"prc",0.275738038342793,51
"prc",0.106415728217393,36
"prc",0.25729967079244,56
"prc",0.241706100071634,80
"prc",0.283833764043874,116
"prc",0.162337868244972,52
"prc",0.356952223953535,101
"prc",0.261993908777322,77
"prc",0.242405797436961,78
"prc",0.197810701615378,54
"prc",0.292538908235363,86
"prc",0.294623058411731,90
"prc",-0.0314976528005711,59
"prc",0.207835656247083,50
"prc",0.226793607035743,54
"prc",0.191899298972304,86
"prc",0.335865684457982,76
"prc",0.265037007653246,115
"prc",0.395814949756616,94
"prc",0.184103047379804,69
"prc",0.347166758439978,100
"prc",0.066770359080504,54
"prc",0.356878403665808,97
"prc",0.179321751299716,65
"prc",0.230981133966981,71
"prc",0.104123533812041,67
"prc",0.177527551317003,73
"prc",0.208437508709966,76
"prc",0.0965996699735486,72
"prc",0.0431100883847103,72
"prc",0.259012848497825,40
"prc",0.130749484159637,81
"prc",0.118647996531252,53
"prc",0.32767393870124,84
"prc",0.390245919290327,85
"prc",0.102789377814761,55
"prc",0.15780260848831,58
"prc",0.33946808233638,85
"prc",0.0638507330578332,58
"prc",0.106634577776707,45
"prc",0.219408221508595,100
"prc",0.24480121953559,92
"prc",0.239987320107244,75
"prc",0.22819259879371,78
"prc",0.190469170421563,62
"prc",0.102561632469844,53
"prc",0.317828526865399,106
"prc",0.167071234898222,56
"prc",0.162147316646799,73
"prc",0.382445655912983,97
"prc",0.0535756619218919,31
"prc",0.441309417746687,108
"prc",0.128895848425489,40
"prc",0.192055875272581,53
"prc",0.0130153078837868,39
"prc",0.245938235632436,71
"prc",0.184368099787766,60
"prc",-0.00394698604430054,52
"prc",0.224562274390265,79
"prc",0.211775446010242,59
"prc",0.317385412214835,115
"prc",0.390729797757413,96
"prc",0.268491562054876,96
"prc",0.26133724843718,73
"prc",0.135765075129457,44
"prc",0.173277804320313,77
"prc",0.433335980347212,77
"prc",0.307099733916476,82
"prc",0.237572867829882,75
"prc",0.236722799849094,56
"prc",0.41405547345395,140
"prc",0.157268300579094,58
"prc",0.123791994336244,77
"prc",0.318481245276189,95
"prc",0.242346272611096,46
"prc",0.232041426062785,110
"prc",0.180959917575888,46
"prc",0.203508836893712,97
"prc",0.174225842402609,37
"prc",0.192016029550201,87
"prc",0.174077288417383,54
"prc",0.281113006083989,96
"prc",0.352668118717459,66
"prc",0.232735098823357,60
"prc",0.30770863661296,83
"prc",0.11338488650773,62
"prc",0.244496006471762,62
"prc",0.0941604691383191,53
"prc",0.260851116398916,81
"prc",0.267787796493309,105
"prc",0.150786248442863,47
"prc",0.276943306863472,76
"prc",0.128096790617131,83
"prc",0.297989366782062,79
"prc",0.00995173934262757,64
"prc",0.289490319057916,67
"prc",0.383346099925921,114
"prc",0.108684374102592,41
"prc",0.167915119250743,71
"prc",0.282073812761399,63
"prc",0.263725941239984,122
"prc",0.385852301789575,112
"prc",0.236921585052292,94
"prc",0.409241714716122,75
"prc",0.251011899692901,66
"prc",0.217142296416101,68
"prc",0.11689443918502,66
"prc",0.175856073849798,44
"prc",0.220606110583644,66
"prc",0.350162671510422,85
"prc",0.334549554260722,153
