"","V1","V2"
"prc",0.203145322493442,44
"prc",0.313966353377145,58
"prc",0.201955877665394,25
"prc",0.228260940518413,27
"prc",0.201160513161517,33
"prc",0.230101586633599,25
"prc",0.294911726577865,74
"prc",0.157735402623338,35
"prc",0.173858579664911,28
"prc",0.350860285359964,42
"prc",0.235387507228765,29
"prc",0.250055362432282,43
"prc",0.197256841859324,29
"prc",0.219152674827469,41
"prc",0.27863649241681,27
"prc",0.099648498876349,48
"prc",0.304043554065968,50
"prc",0.111926118385448,29
"prc",0.245440035593495,60
"prc",0.172006015265178,48
"prc",0.126657408605348,40
"prc",0.099259843378346,31
"prc",0.120838948530967,28
"prc",0.206597937104274,26
"prc",0.364765331673929,32
"prc",0.192267015010447,36
"prc",0.306555005553927,49
"prc",0.36338483297613,45
"prc",0.214896376573608,36
"prc",0.223840557358538,41
"prc",0.266429590154439,52
"prc",0.252630715521381,22
"prc",0.189678587174481,38
"prc",0.241226119369853,38
"prc",0.2906373293066,35
"prc",0.264907660700527,28
"prc",0.191743163917506,35
"prc",0.219612460819018,50
"prc",0.132349283363962,33
"prc",0.240305275458149,55
"prc",0.248628306564711,26
"prc",0.186765252192706,29
"prc",0.0743987078497223,41
"prc",0.193264285462963,52
"prc",0.193142807308365,20
"prc",0.298408775556759,51
"prc",0.189448496990235,27
"prc",0.296842963888365,57
"prc",0.165710625741813,52
"prc",0.182182297049017,37
"prc",0.210252506568772,44
"prc",0.159665979665394,61
"prc",0.228156765890582,31
"prc",0.325682192143491,23
"prc",0.0723632183240033,23
"prc",0.210012036470842,31
"prc",0.16300643106046,43
"prc",0.146203129856354,28
"prc",0.280614471864503,35
"prc",0.245731496209388,48
"prc",0.147859932549809,27
"prc",0.234102143389447,39
"prc",0.222286892475414,25
"prc",0.316202404562603,38
"prc",0.214939816325501,52
"prc",0.0954585900325693,27
"prc",0.29697038611598,38
"prc",0.170075298325323,38
"prc",0.221899526935874,16
"prc",0.298821534556976,52
"prc",0.406416043781255,65
"prc",0.28352847673912,51
"prc",0.280762725964225,34
"prc",0.118804378838041,19
"prc",0.15289150621669,30
"prc",0.41783589377488,53
"prc",0.191770736670085,41
"prc",0.334152841976132,80
"prc",0.135870451841723,28
"prc",0.160514229434524,25
"prc",0.210639576495022,40
