"","V1","V2"
"prc",0.467763777175626,1000
"prc",0.758772947286785,194
"prc",0.792857572436333,233
"prc",0.803037649495345,151
"prc",0.838360328893816,194
"prc",0.841121107549863,183
"prc",0.697801203320862,171
"prc",0.706077761400272,312
"prc",0.186051936754044,1000
"prc",0.529013075386631,1000
"prc",0.473182708965432,211
"prc",0.353227874200937,1000
"prc",0.676992720193869,235
"prc",0.481897061206766,246
"prc",0.464285411704879,1000
"prc",0.381373407520062,261
"prc",0.92217605634976,194
"prc",0.615403384445235,1000
"prc",0.768429379618051,253
"prc",0.835385542855982,189
"prc",0.302586528406131,1000
"prc",0.434053964693757,192
"prc",0.421567056132663,1000
"prc",0.637107939514167,224
"prc",0.894111340180697,230
"prc",0.345024349424878,1000
"prc",0.830610968857346,189
"prc",0.393123062400549,1000
"prc",0.962739729340754,177
"prc",0.530983783423389,162
"prc",0.938942300977514,165
"prc",0.451148042455316,217
"prc",0.7094478280667,222
"prc",0.880461096170121,154
"prc",0.703089300378719,193
"prc",0.41615630149403,163
"prc",0.249165773577623,1000
"prc",0.774321475020592,180
"prc",0.904414514947098,190
"prc",0.85113320610139,298
"prc",0.555683425983743,173
"prc",0.516700619082241,1000
"prc",0.25351556600108,1000
"prc",0.836287007557557,195
"prc",0.257641503827318,1000
"prc",0.779890409195978,168
"prc",0.729893217968079,221
"prc",0.432001915979473,222
"prc",0.904658922085575,236
"prc",0.867459659135955,178
"prc",0.977912742781508,251
"prc",0.92357401622861,228
"prc",0.514647270260634,213
"prc",0.304040114157194,1000
"prc",0.603660861220503,1000
"prc",0.857017297197279,257
"prc",0.797608045276766,211
"prc",0.467264195880031,1000
"prc",0.798100710819092,388
"prc",0.904335785501947,192
"prc",0.868367705357206,140
"prc",0.450194057367158,1000
"prc",0.887281256636568,259
"prc",0.246400896153029,1000
"prc",0.749834749464165,259
"prc",0.899060879350074,102
"prc",0.989185050056846,166
"prc",0.585309230402915,318
"prc",0.44615853023971,1000
"prc",0.320974579651603,1000
"prc",0.69678375060104,191
"prc",0.905272324240821,190
"prc",0.877083895426682,219
"prc",0.681543159152509,216
"prc",0.927179407501849,224
"prc",0.51056368025385,160
"prc",0.903234484404618,172
"prc",0.777296523143556,258
"prc",0.311894590509873,179
"prc",0.678803957843532,276
"prc",0.236103488732604,1000
"prc",0.825630500355699,215
"prc",0.443717818939511,1000
"prc",0.784182617559518,164
"prc",0.921601120537768,148
"prc",0.903079471933637,1000
"prc",0.286740396047084,1000
"prc",0.490447158148951,1000
"prc",0.826606316528484,179
"prc",0.761121726558343,264
"prc",0.16537900023418,1000
"prc",0.462382102936287,1000
"prc",0.612832674144895,239
"prc",0.468379451427609,198
"prc",0.824257457510148,148
"prc",0.446651525138056,147
"prc",0.981342944754835,211
"prc",0.2893838114653,318
"prc",0.967962213965389,265
"prc",0.490560134960813,1000
"prc",0.790853778119656,1000
"prc",0.83453268796096,185
"prc",0.800704786937465,172
"prc",0.528406130798234,279
"prc",0.802937169130161,211
"prc",0.81399456514776,198
"prc",0.935813497313682,268
"prc",0.429891465724829,174
"prc",0.535781320768828,148
"prc",0.807549248111672,208
"prc",0.482227507568531,1000
"prc",0.980026067088486,201
"prc",0.713556040525802,157
"prc",0.511293195735882,170
"prc",0.533506519754655,176
"prc",0.461099332837644,269
"prc",0.770648526593897,230
"prc",0.286454989840185,1000
"prc",0.823622860489231,245
"prc",0.812080465348474,195
"prc",0.526378982746061,146
"prc",0.761758445113824,256
"prc",0.71596797227896,149
"prc",0.549342595826031,231
"prc",0.290201793899942,1000
"prc",0.620148090654801,237
"prc",0.562023250322205,188
"prc",0.826567226609982,214
"prc",0.78284551785784,224
"prc",0.599883490881207,196
"prc",0.879439807624794,312
"prc",0.803400330090274,178
"prc",0.849701460898288,219
"prc",0.705381822681018,244
"prc",0.699802239635484,248
"prc",0.403822705761402,186
"prc",0.963859293299417,221
"prc",0.773949194106036,169
"prc",0.848574143743106,224
"prc",0.727527984207971,225
"prc",0.910961842739626,198
"prc",0.237686084981314,1000
"prc",0.960491788199208,246
"prc",0.577802808991834,142
"prc",0.780748802766788,276
"prc",0.561245091953041,1000
"prc",0.451712290957278,170
"prc",0.703424331640788,183
"prc",0.497657342716394,1000
"prc",0.868154516160561,216
"prc",0.844949971190562,171
"prc",0.609733460032765,121
"prc",0.866111505466203,208
"prc",0.408560798751629,1000
"prc",0.235236224655938,1000
"prc",0.626048323863606,1000
"prc",0.817798000267323,185
"prc",0.85347388761885,1000
"prc",0.498363686365386,1000
"prc",0.779263003409712,211
"prc",0.245392235867752,1000
"prc",0.900590385858189,213
"prc",0.528116840713968,227
"prc",0.602645948555722,1000
"prc",0.652087173077698,195
"prc",0.588746108288201,177
"prc",0.939235435214405,232
"prc",0.859448336557869,195
"prc",0.734021398741021,218
"prc",0.750015822963095,1000
"prc",0.959762502069055,237
"prc",0.843257705343193,237
"prc",0.241453099740194,140
"prc",0.907321017911183,238
"prc",0.749451008013577,228
"prc",0.824857032903488,219
"prc",0.702380115093262,192
"prc",0.270467503380542,1000
"prc",0.983434927065437,209
"prc",0.828400169554002,194
"prc",0.666712546428921,225
"prc",0.979105991968775,243
"prc",0.455535226847027,1000
"prc",0.883916709809473,235
"prc",0.917758706053171,206
"prc",0.497239470436767,1000
"prc",0.259971733640551,1000
"prc",0.662507846275819,198
"prc",0.548338375620398,212
"prc",0.794559905268982,185
"prc",0.524556782945771,319
"prc",0.446295119725971,1000
"prc",0.398468110637338,204
"prc",0.547181822131297,255
"prc",0.749685847629592,189
"prc",0.893686148548024,237
"prc",0.437640345615207,1000
"prc",0.685070377774537,202
"prc",0.875977675284387,200
"prc",0.786364849455947,241
"prc",0.681855015730595,179
"prc",0.441528490906508,1000
"prc",0.550372287037545,236
"prc",0.705253855507894,204
"prc",0.527394190074547,157
"prc",0.582519307659537,181
"prc",0.838340020428101,209
"prc",0.271143979283378,459
"prc",0.919439455932554,143
"prc",0.582477914112273,1000
"prc",0.097746657343837,1000
"prc",0.883652939515955,158
"prc",0.907476714419603,177
"prc",0.691792524951127,1000
"prc",0.643656614839154,244
"prc",0.681266515625312,174
"prc",0.446950334136685,1000
"prc",0.689732754374763,203
"prc",0.773905107632791,198
"prc",0.719970284997686,169
"prc",0.875624179666606,126
"prc",0.698817383972745,233
"prc",0.907479376641705,176
"prc",0.718568796063682,159
"prc",0.764412699477272,263
"prc",0.839280916304857,267
"prc",0.512112263425746,272
"prc",0.919728547508153,205
"prc",0.58197720959673,158
"prc",0.732580317859994,210
"prc",0.693845392369172,238
"prc",0.3743601309446,185
"prc",0.922557327878095,256
"prc",0.350923221439634,231
"prc",0.549675731317085,190
